country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Afghanistan,2019,AFG,37856125,73085701943,0.038,0.001,10.4,0.209,2.047,20.063,6.989,53.458,0.53,0.275,0.426,0.275,0.142,0.221,3.273,0.086,,,,2.444,190.136,504.831,45.038,5.956,19.773,808.125,116.925,,1244.489,0.645,0,0,0.246,0.006,0.385,0.966,9.663,0.255,15.216,0.402,4.598,0.121,6.843,0.181,,,47.112,0.002,0.028,0.048,0.022,0.006,0.011,0.02,0.006,0.033,0.008,0.091,0.02,,0,0.003,0.198,0.056,,0.079,0.001,0.001,0.001,0,36.551,14.564,,
Afghanistan,2020,AFG,39068977,71417706295,0.061,0.002,11.119,0.719,6.909,16.717,-3.346,-16.677,0.428,0.234,0.356,0.285,0.156,0.237,3.635,0.093,,,,2.504,201.254,521.548,48.672,5.956,19.927,813.723,124.195,,1200.742,0.657,0,0,0.154,0.004,0.388,0.915,5.598,0.143,15.25,0.39,4.565,0.117,7.269,0.186,,,46.912,0.004,0.032,0.042,0.025,0.006,0.012,0.02,0.006,0.032,0.008,0.092,0.021,,0,0.002,0.124,0.066,,0.079,0.001,0.001,0.001,0,35.765,15.155,,
Africa,2019,,1348005692,,82.361,0.061,1456.083,64.896,4.665,3265.865,-66.785,-2.004,2.426,0.534,0.595,1.082,0.238,0.265,468.424,0.348,1441.593,1.071,0.236,1714.255,46837.715,163304.531,19791.008,3464.959,5732.631,150224.047,16134.86,,4214.992,,60.451,0.045,314.888,0.234,1.669,3.412,1809.796,1.344,1367.044,1.014,452.446,0.336,529.959,0.394,,,5681.833,5.097,3.926,7.781,3.186,4.1,2.817,6.424,2.558,19.129,2.413,17,2.787,,13.981,4.157,37.032,4.3,,8.633,0.053,0.072,0.135,0.01,4600.052,2249.174,-14.49,-0.995
Africa,2020,,1380821349,,80.279,0.058,1369.249,-86.834,-5.964,3265.188,-0.676,-0.021,2.368,0.547,0.635,0.993,0.229,0.266,430.714,0.312,1380.571,1.001,0.231,1794.534,48206.961,166569.719,20221.721,3519.728,6030.707,152120,16640.271,,3919.844,,54.769,0.04,298.076,0.216,1.536,3.295,1895.951,1.375,1350.993,0.978,471.501,0.341,505.412,0.366,,,5412.605,4.943,3.895,8.23,3.019,4.132,2.839,6.452,2.566,19.012,2.46,17.127,2.821,,13.692,3.963,41.978,4.623,,8.637,0.053,0.073,0.137,0.01,4550.47,2121.603,11.322,0.827
Africa (GCP),2019,,,,,,1456.068,,,,,,,,,,,,,,1441.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (GCP),2020,,,,,,1369.238,,,,,,,,,,,,,,1380.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,2019,ALB,2885011,33289747424,0.928,0.322,4.941,-0.254,-4.896,5.226,-0.629,-10.741,1.812,0.157,0.21,1.712,0.148,0.198,0.451,0.156,6.021,2.087,0.181,22.069,284.576,525.867,67.212,0.136,16.184,394.246,178.974,,8630.006,0.748,0.004,0.002,0.132,0.046,2.074,3.097,0.286,0.099,2.838,0.984,1.131,0.392,3.426,1.187,,,24.898,0.057,0.013,0.012,0.003,0.053,0.017,0.021,0.009,0.001,0.007,0.045,0.031,,0.001,0.002,0.006,0.028,,0.027,0,0,0,0,8.936,5.984,1.08,21.864
Albania,2020,ALB,2871950,32130726850,1.322,0.46,4.865,-0.075,-1.528,4.859,-0.368,-7.038,1.692,0.151,0.23,1.694,0.151,0.23,0.572,0.199,5.973,2.08,0.186,23.391,289.441,530.725,67.783,0.136,16.28,394.24,181.851,,7352.821,0.657,0,0,0.095,0.033,2.051,2.891,-0.006,-0.002,2.631,0.916,1.026,0.357,2.876,1.001,,,21.117,0.081,0.014,0.012,0.004,0.054,0.017,0.021,0.009,0.001,0.007,0.044,0.031,,0,0.001,0,0.026,,0.027,0,0,0,0,8.303,5.892,1.108,22.782
Algeria,2019,DZA,43294551,5.89905E+11,12.542,0.29,182.425,7.964,4.565,184.902,5.553,3.096,4.271,0.313,0.266,4.214,0.309,0.263,1.275,0.029,,,,191.047,4529.565,5583.952,116.132,702.635,1974.007,1293.935,1545.745,,16037.789,1.177,16.974,0.392,91.998,2.125,5.584,5.881,2.477,0.057,63.557,1.468,8.343,0.193,59.637,1.377,,,694.349,0.776,0.492,0.441,0.009,0.457,0.272,0.22,0.015,3.879,0.831,0.146,0.267,,3.926,1.215,0.051,0.484,,0.325,0.003,0.002,0.005,0,254.628,241.753,,
Algeria,2020,DZA,44042094,5.5982E+11,11.879,0.27,171.139,-11.286,-6.187,172.739,-12.163,-6.578,3.922,0.309,0.266,3.886,0.306,0.264,0.575,0.013,,,,202.926,4700.704,5756.691,116.707,720.165,2061.032,1295.536,1599.874,,14733.604,1.159,17.53,0.398,87.026,1.976,5.148,5.434,1.601,0.036,60.409,1.372,7.979,0.181,54.13,1.229,,,648.899,0.731,0.487,0.435,0.004,0.467,0.277,0.223,0.015,3.89,0.841,0.146,0.271,,4.382,1.157,0.035,0.495,,0.325,0.003,0.002,0.005,0,239.32,226.746,,
Andorra,2019,AND,76492,,0,0,0.491,-0.007,-1.471,0.492,0.002,0.359,6.432,,,6.419,,,0,0,,,,0,14.597,15.1,0,0,0.011,1.02,14.586,,,,0,0,0.004,0.048,6.935,7.977,0.001,0.013,0.083,1.083,0.041,0.534,0.487,6.37,,,,0,0.001,0.001,0,0,0.001,0.001,0,0,0,0,0.003,,0,0,0,0.004,,0.001,0,0,0,0,0.61,0.53,,
Andorra,2020,AND,77397,,0,0,0.377,-0.114,-23.134,0.372,-0.12,-24.391,4.806,,,4.876,,,0,0,,,,0,14.975,15.472,0,0,0.015,1.015,14.96,,,,0,0,0.004,0.048,5.358,6.285,-0.005,-0.07,0.08,1.038,0.037,0.473,0.374,4.828,,,,0,0.001,0.001,0,0,0.001,0.001,0,0,0,0,0.003,,0,0,0,0.003,,0.001,0,0,0,0,0.486,0.415,,
Angola,2019,AGO,32375633,1.61409E+11,1.124,0.035,22.21,-1.068,-4.588,84.302,-14.985,-15.092,2.604,0.522,0.886,0.686,0.138,0.234,,,,,,23.805,638.722,5015.481,,261.958,40.622,7165.017,310.737,,2937.561,0.589,4.371,0.135,2.429,0.075,1.666,5.319,62.092,1.918,49.451,1.527,17.922,0.554,14.286,0.441,,,95.105,0.07,0.06,0.201,,0.057,0.038,0.197,,1.446,0.017,0.811,0.054,,1.011,0.032,1.271,0.116,,0.355,0.002,0.003,0.006,0,172.219,53.944,,
Angola,2020,AGO,33451139,1.52309E+11,1.085,0.032,16.549,-5.661,-25.487,70.412,-13.89,-16.476,2.105,0.462,0.923,0.495,0.109,0.217,,,,,,24.89,655.272,5085.894,,265.467,43.11,7218.879,320.205,,2281.591,0.501,3.509,0.105,2.488,0.074,1.4,4.734,53.863,1.61,47.14,1.409,17.067,0.51,9.468,0.283,,,76.322,0.067,0.047,0.177,,0.057,0.039,0.197,,1.434,0.018,0.813,0.054,,0.877,0.033,1.193,0.087,,0.352,0.002,0.003,0.006,0,158.351,46.815,,
Anguilla,2019,AIA,14845,,0,0,0.143,0.011,8.333,,,,,,,9.626,,,,,,,,0,2.88,,,0,,,2.88,,,,0,0,,,,,,,,,0,0,0.143,9.626,,,,0,0,,,0,0,,,0,,,0,,0,,,0.001,,0,0,0,0,0,,,,
Anguilla,2020,AIA,14864,,0,0,0.136,-0.007,-5.128,,,,,,,9.121,,,,,,,,0,3.015,,,0,,,3.015,,,,0,0,,,,,,,,,0,0,0.136,9.121,,,,0,0,,,0,0,,,0,,,0.001,,0,,,0.001,,0,0,0,0,0,,,,
Antarctica,2019,ATA,,,0,,0,0,,,,,,,,,,0,,,,,,0,0.154,,,0,,,,,,,0,,,,,,,,,,,,,,,,0.055,0,0,,,0,0,,,0,,,,,0,,,,,0,,0,0,,,,,
Antarctica,2020,ATA,,,0,,0,0,,,,,,,,,,0,,,,,,0,0.154,,,0,,,,,,,0,,,,,,,,,,,,,,,,0.046,0,0,,,0,0,,,0,,,,,0,,,,,0,,0,0,,,,,
Antigua and Barbuda,2019,ATG,91377,,0,0,0.638,0.022,3.571,0.602,0.019,3.248,6.59,,0.199,6.977,,0.211,,,,,,0,23.723,14.787,,0,,-11.362,23.7,,33123.305,,0,0,,,7.537,7.607,-0.035,-0.387,0.057,0.622,0.014,0.153,0.638,6.977,,,3.027,0,0.002,0.001,,0,0.001,0.001,,0,,-0.001,0.004,,0,,-0.001,0.005,,0.001,0,0,0,0,0.695,0.689,,
Antigua and Barbuda,2020,ATG,91864,,0,0,0.616,-0.022,-3.448,0.58,-0.022,-3.687,6.314,,0.198,6.701,,0.21,,,,,,0,24.339,15.367,,0,,-11.397,24.315,,31833.912,,0,0,,,7.249,7.308,-0.036,-0.387,0.057,0.616,0.013,0.138,0.616,6.701,,,2.924,0,0.002,0.001,,0,0.001,0.001,,0,,-0.001,0.004,,0,,-0.001,0.006,,0.001,0,0,0,0,0.671,0.666,,
Argentina,2019,ARG,44973469,8.17054E+11,4.298,0.096,180.428,-2.056,-1.127,342.207,46.335,15.66,7.609,0.419,0.37,4.012,0.221,0.195,2.143,0.048,172.704,3.84,0.211,196.856,8263.493,21408.012,525.737,162.47,2785.907,13212.548,4592.521,,20582.312,1.133,1.771,0.039,95.606,2.126,4.596,9.618,161.779,3.597,115.653,2.572,46.939,1.044,76.609,1.703,,,925.658,0.266,0.487,0.815,0.015,0.471,0.497,0.842,0.068,0.897,1.173,1.495,0.793,,0.409,1.262,3.31,0.622,,0.987,0.006,0.009,0.015,0.001,432.561,206.718,-7.723,-4.281
Argentina,2020,ARG,45191960,7.35814E+11,3.642,0.081,164.613,-15.815,-8.765,293.657,-48.55,-14.187,6.498,0.399,0.34,3.643,0.224,0.191,3.224,0.071,160.073,3.542,0.218,200.498,8428.105,21701.668,528.962,164.457,2874.992,13341.593,4659.197,,19117.824,1.174,1.987,0.044,89.085,1.971,4.202,8.799,129.045,2.855,115.126,2.547,48.156,1.066,66.675,1.475,,,863.972,0.224,0.468,0.74,0.023,0.462,0.496,0.841,0.067,0.888,1.173,1.502,0.79,,0.497,1.185,2.857,0.61,,0.982,0.006,0.009,0.016,0.001,397.663,189.913,-4.54,-2.758
Armenia,2019,ARM,2903975,35949092334,0.341,0.117,6.284,0.462,7.935,6.491,0.337,5.481,2.235,0.181,0.157,2.164,0.175,0.152,0.011,0.004,8.17,2.813,0.227,14.301,369.984,475.431,43.881,2.156,153.041,111.162,156.605,,14248.773,1.151,0,0,4.888,1.683,2.53,3.175,0.207,0.071,1.62,0.558,0.756,0.26,1.044,0.36,,,41.378,0.021,0.017,0.015,0,0.034,0.022,0.019,0.006,0.012,0.064,0.013,0.027,,0,0.065,0.004,0.008,,0.02,0,0,0,0,9.219,7.346,1.886,30.005
Armenia,2020,ARM,2890893,33378378959,0.413,0.143,6.795,0.511,8.133,6.953,0.462,7.115,2.405,0.208,0.155,2.351,0.204,0.152,0.029,0.01,8.55,2.958,0.256,14.714,376.78,482.384,43.91,2.156,157.943,111.32,158.057,,15475.302,1.34,0,0,4.901,1.695,2.721,3.378,0.158,0.055,1.633,0.565,0.778,0.269,1.452,0.502,,,44.737,0.025,0.019,0.018,0,0.034,0.022,0.019,0.006,0.012,0.064,0.013,0.027,,0,0.065,0.003,0.013,,0.02,0,0,0,0,9.764,7.866,1.755,25.825
Aruba,2019,ABW,107089,,0,0,0.832,-0.037,-4.219,,,,,,,7.767,,0.178,,,,,,0,71.391,,,0,,,71.391,,43634.25,,0,0,,,8.047,8.062,,,0.023,0.212,0.009,0.083,0.832,7.767,,,4.673,0,0.002,,,0,0.004,,,0,,,0.012,,0,,,0.007,,0.002,0,0,0,0,0.863,0.862,,
Aruba,2020,ABW,107411,,0,0,0.821,-0.011,-1.322,,,,,,,7.641,,0.18,,,,,,0,72.212,,,0,,,72.212,,42530.234,,0,0,,,7.906,7.921,,,0.023,0.21,0.007,0.07,0.821,7.641,,,4.568,0,0.002,,,0,0.004,,,0,,,0.012,,0,,,0.008,,0.002,0,0,0,0,0.851,0.849,,
Asia,2019,,4651098724,,1305.078,0.281,20926.584,560.234,2.751,22104.678,666.325,3.108,4.753,0.363,0.262,4.499,0.344,0.248,11437.149,2.459,19473.746,4.187,0.32,25258.867,514795.312,779007.688,271752.344,6332.816,54651.871,323902.625,151293.391,5504.567,18168.754,,108.828,0.023,2973.112,0.639,5.137,5.951,1495.906,0.322,4276.85,0.92,1216.375,0.262,4877.151,1.049,0.048,225.267,84504.664,80.773,56.426,52.663,77.788,60.412,30.958,30.646,35.124,34.962,23.001,36.655,26.134,43.2,25.169,39.254,30.609,39.568,51.723,34.123,0.153,0.353,0.532,0.026,27680.395,23893.223,-1452.839,-6.943
Asia,2020,,4686811214,,1320.692,0.282,20691.949,-234.635,-1.121,21450.055,-654.623,-2.961,4.577,0.357,0.256,4.415,0.344,0.247,11443.86,2.442,19140.658,4.084,0.319,26579.559,535487.25,800457.75,283196.188,6441.635,57699.527,324967.719,155847.688,5721.202,17940.24,,108.819,0.023,3047.657,0.65,5.039,5.782,1065.116,0.227,4275.868,0.912,1235.64,0.264,4554.286,0.972,0.046,216.635,84082.523,81.321,58.854,54.065,80.212,61.194,31.536,31.006,35.94,34.795,23.539,36.588,26.422,43.487,27.205,40.523,23.583,41.659,52.33,34.461,0.156,0.363,0.545,0.026,27097.293,23618.863,-1551.29,-7.497
Asia (GCP),2019,,,,,,18223.221,,,,,,,,,,,,,,17402.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia (GCP),2020,,,,,,18046.271,,,,,,,,,,,,,,17082.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia (excl. China and India),2019,,,,355.466,0.193,7601.896,177.563,2.392,8917.191,392.597,4.605,4.85,0.322,0.256,4.135,0.275,0.218,2252.632,1.225,7439.369,4.046,0.269,9247.713,236175.375,385038.094,66874.109,6025.259,46585.059,198904.109,106524.984,916.828,,,102.535,0.056,2217.708,1.206,,,1633.109,0.888,2102.949,,479.766,,2639.528,1.436,0.019,34.027,,22,20.498,21.245,15.321,22.118,14.203,15.147,8.643,33.264,19.606,22.509,18.401,7.195,23.713,29.28,33.416,21.414,7.813,17.706,0.077,0.188,0.276,0.011,11745.01,9067.025,-162.527,-2.138
Asia (excl. China and India),2020,,,,369.074,0.199,7372.697,-229.199,-3.015,8314.813,-602.378,-6.755,4.475,0.308,0.248,3.968,0.273,0.22,2202.679,1.185,7256.609,3.905,0.269,9616.787,243548.078,393352.906,69076.789,6126.103,48828.555,200153.234,108948.68,949.736,,,100.843,0.054,2243.5,1.207,,,1249.127,0.672,2069.072,,490.855,,2423.692,1.304,0.018,32.908,,22.725,20.97,20.957,15.439,22.141,14.343,15.237,8.766,33.09,19.92,22.535,18.471,7.219,25.211,29.831,27.657,22.17,7.949,17.799,0.078,0.192,0.281,0.011,11136.813,8785.001,-116.088,-1.575
Australia,2019,AUS,25482714,1.25551E+12,3.04,0.119,414.925,0.145,0.035,454.106,-11.621,-2.495,17.82,0.362,0.27,16.283,0.33,0.247,164.888,6.471,383.647,15.055,0.306,188.555,18097.525,31788.494,9824.724,263.003,1984.624,13691.765,5730.708,105.909,65938.531,1.338,20.132,0.79,80.305,3.151,19.755,25.339,39.181,1.538,154.257,6.053,64.19,2.519,142.693,5.6,0.152,3.868,1680.293,0.188,1.119,1.082,1.121,0.451,1.088,1.251,1.27,1.452,0.835,1.549,0.99,0.831,4.656,1.06,0.802,1.158,0.888,1.58,0.008,0.014,0.025,0.003,645.71,503.416,-31.278,-7.538
Australia,2020,AUS,25743787,1.23226E+12,2.82,0.11,398.547,-16.378,-3.947,492.498,38.393,8.455,19.131,0.4,0.311,15.481,0.323,0.251,156.622,6.084,374.332,14.541,0.304,191.375,18496.072,32280.994,9981.346,280.212,2068.003,13785.716,5865.485,109.65,61584.258,1.287,17.209,0.668,83.378,3.239,18.658,24.779,93.951,3.649,135.224,5.253,54.751,2.127,134.777,5.235,0.145,3.741,1585.412,0.174,1.134,1.241,1.098,0.441,1.089,1.25,1.267,1.514,0.844,1.552,0.994,0.833,4.302,1.109,2.08,1.233,0.904,1.567,0.008,0.014,0.025,0.003,637.903,480.323,-24.215,-6.076
Austria,2019,AUT,8880876,3.88345E+11,1.771,0.199,67.951,1.385,2.08,67.256,1.076,1.627,7.573,0.173,0.157,7.651,0.175,0.159,13.005,1.464,86.611,9.753,0.223,136.077,5447.001,5669.513,2721.507,4.546,705.809,250.835,1844.703,34.36,48188.984,1.102,0.118,0.013,17.791,2.003,8.276,9.056,-0.695,-0.078,9.181,1.034,3.75,0.422,34.088,3.838,0.133,1.179,427.96,0.11,0.183,0.16,0.088,0.325,0.328,0.223,0.352,0.025,0.297,0.028,0.319,0.27,0.027,0.235,-0.014,0.277,0.271,0.199,0,0.002,0.003,0,80.427,73.495,18.66,27.461
Austria,2020,AUT,8921402,3.63281E+11,1.821,0.204,62.18,-5.771,-8.493,61.379,-5.877,-8.738,6.88,0.169,0.153,6.97,0.171,0.155,11.371,1.275,78.804,8.833,0.217,137.898,5509.181,5730.893,2732.877,4.655,722.768,250.035,1875.482,35.501,44852.156,1.101,0.109,0.012,16.959,1.901,7.579,8.341,-0.801,-0.09,9.103,1.02,3.784,0.424,30.779,3.45,0.128,1.14,400.144,0.112,0.177,0.155,0.08,0.317,0.324,0.222,0.347,0.025,0.295,0.028,0.318,0.27,0.027,0.225,-0.018,0.282,0.275,0.197,0,0.003,0.003,0,74.417,67.613,16.624,26.735
Azerbaijan,2019,AZE,10110483,1.65653E+11,1.096,0.108,37.753,3.176,9.186,41.503,2.026,5.133,4.105,0.251,0.223,3.734,0.228,0.203,0.004,0,37.698,3.729,0.228,29.732,2438.849,3015.022,24.255,14.415,1013.673,599.565,1356.774,,18385.926,1.122,0.419,0.041,24.122,2.386,4.576,5.558,3.751,0.371,12.222,1.209,3.465,0.343,12.112,1.198,,,185.891,0.068,0.102,0.099,0,0.071,0.147,0.119,0.003,0.08,0.427,0.068,0.234,,0.097,0.318,0.077,0.098,,0.119,0,0.001,0.002,0,56.193,46.263,-0.055,-0.145
Azerbaijan,2020,AZE,10181736,1.58698E+11,1.018,0.1,36.237,-1.515,-4.014,39.523,-1.98,-4.77,3.882,0.249,0.214,3.559,0.228,0.196,0.004,0,37.97,3.729,0.239,30.749,2475.086,3054.545,24.259,14.669,1038.006,602.852,1367.404,,18162.768,1.165,0.254,0.025,24.333,2.39,4.383,5.331,3.286,0.323,12.078,1.186,3.484,0.342,10.629,1.044,,,184.929,0.063,0.103,0.1,0,0.071,0.146,0.118,0.003,0.079,0.423,0.068,0.232,,0.064,0.324,0.073,0.097,,0.119,0,0.001,0.002,0,54.282,44.631,1.733,4.783
Bahamas,2019,BHS,394684,,0,0,2.521,0.066,2.687,2.494,0.065,2.668,6.32,,0.198,6.387,,0.2,0.004,0.009,,,,4.259,166.794,169.12,0.26,0,,7.022,162.275,,31914.691,,0,0,,,7.302,7.366,-0.026,-0.067,0.33,0.837,0.058,0.148,2.517,6.378,,,12.596,0,0.007,0.006,0,0.01,0.01,0.007,0,0,,0.001,0.028,,0,,-0.001,0.02,,0.006,0,0,0,0,2.907,2.882,,
Bahamas,2020,BHS,395874,,0,0,2.052,-0.469,-18.605,2.026,-0.468,-18.77,5.118,,0.193,5.183,,0.196,0.004,0.009,,,,4.259,168.846,171.146,0.264,0,,6.997,164.323,,26472.564,,0,0,,,6.087,6.175,-0.026,-0.065,0.336,0.848,0.056,0.141,2.048,5.174,,,10.48,0,0.006,0.005,0,0.01,0.01,0.007,0,0,,0.001,0.028,,0,,-0.001,0.019,,0.006,0,0,0,0,2.444,2.41,,
Bahrain,2019,BHR,1485675,57613480945,0.271,0.182,37.616,4.918,15.039,37.616,4.918,15.039,25.319,0.653,0.163,25.319,0.653,0.163,,,23.857,16.058,0.414,5.258,922.881,922.889,,1.318,703.321,0.01,212.83,,155660.703,4.014,0.321,0.216,33.276,22.398,41.803,41.834,0,0,24.328,16.375,0.207,0.14,3.748,2.523,,,231.261,0.017,0.101,0.09,,0.013,0.055,0.036,,0.007,0.296,0,0.037,,0.074,0.439,0,0.03,,0.085,0.001,0,0.001,0,62.152,62.106,-13.76,-36.579
Bahrain,2020,BHR,1483081,54937336615,0.246,0.166,37.429,-0.187,-0.497,37.429,-0.187,-0.497,25.238,0.681,0.166,25.238,0.681,0.166,,,23.993,16.178,0.437,5.504,960.31,960.319,,1.762,736.451,0.01,216.439,,152081.188,4.106,0.444,0.299,33.13,22.339,41.776,41.804,0,0,24.364,16.428,0.205,0.138,3.609,2.433,,,225.549,0.015,0.106,0.094,,0.013,0.057,0.037,,0.01,0.3,0,0.037,,0.111,0.441,0,0.033,,0.086,0.001,0,0.001,0,61.999,61.957,-13.436,-35.897
Bangladesh,2019,BGD,164913060,7.17215E+11,1.496,0.009,94.808,8.2,9.467,110.997,7.305,7.045,0.673,0.155,0.23,0.575,0.132,0.196,8.68,0.053,148.596,0.901,0.207,20.858,1491.714,3136.758,100.139,0.206,903.55,3592.816,466.961,,2926.16,0.673,0.027,0,59.417,0.36,0.726,1.322,16.189,0.098,89.562,0.543,28.637,0.174,25.187,0.153,,,482.562,0.093,0.256,0.264,0.059,0.05,0.09,0.123,0.013,0.001,0.38,0.407,0.081,,0.006,0.784,0.331,0.204,,0.372,0.003,0.002,0.006,0.001,217.989,119.659,53.789,56.734
Bangladesh,2020,BGD,166298024,7.54358E+11,1.39,0.008,95.729,0.921,0.972,109.973,-1.024,-0.923,0.661,0.146,0.24,0.576,0.127,0.209,10.549,0.063,148.633,0.894,0.197,22.248,1587.443,3246.73,110.687,0.233,963.677,3607.06,490.597,,2750.767,0.606,0.028,0,60.126,0.362,0.731,1.322,14.244,0.086,90.907,0.547,28.937,0.174,23.636,0.142,,,457.447,0.086,0.272,0.277,0.074,0.051,0.093,0.126,0.014,0.001,0.393,0.406,0.083,,0.007,0.799,0.315,0.216,,0.373,0.003,0.002,0.006,0.001,219.778,121.616,52.904,55.264
Barbados,2019,BRB,281216,3535586950,0.106,0.376,1.392,-0.055,-3.799,1.273,-0.069,-5.158,4.528,0.36,0.177,4.95,0.394,0.193,,,,,,3.662,57.432,58.07,,0.106,1.691,3.812,51.918,,25585.25,2.035,0.004,0.013,0.044,0.156,5.501,5.514,-0.119,-0.422,0.168,0.596,0.046,0.164,1.238,4.404,,,7.195,0.007,0.004,0.003,,0.009,0.003,0.002,,0.001,0.001,0,0.009,,0.001,0.001,-0.002,0.01,,0.002,0,0,0,0,1.551,1.547,,
Barbados,2020,BRB,281706,3085224475,0.079,0.282,1.256,-0.136,-9.798,1.16,-0.113,-8.881,4.119,0.376,0.206,4.457,0.407,0.223,,,,,,3.742,58.688,59.231,,0.11,1.721,3.717,53.061,,20003.318,1.826,0.004,0.013,0.029,0.104,4.989,5.057,-0.095,-0.338,0.165,0.585,0.045,0.16,1.143,4.058,,,5.635,0.005,0.004,0.003,,0.009,0.003,0.002,,0.001,0.001,0,0.009,,0.001,0,-0.002,0.01,,0.002,0,0,0,0,1.425,1.406,,
Belarus,2019,BLR,9435415,1.81643E+11,2.276,0.241,62.171,0,0,62.364,-1.85,-2.881,6.61,0.343,0.202,6.589,0.342,0.201,4.101,0.435,72.217,7.654,0.398,78.552,4895.572,9795.508,537.919,10.131,1270.346,5132.249,2944.16,54.463,32726.744,1.7,0.006,0.001,36.685,3.888,7.658,10.886,0.194,0.021,18.569,1.968,15.034,1.593,17.973,1.905,0.12,1.129,308.79,0.141,0.168,0.149,0.028,0.188,0.294,0.385,0.07,0.056,0.535,0.581,0.509,0.427,0.001,0.484,0.004,0.146,0.259,0.351,0.001,0.004,0.005,0.001,102.713,72.253,10.046,16.159
Belarus,2020,BLR,9350943,1.80421E+11,2.302,0.246,59.123,-3.048,-4.902,58.111,-4.253,-6.82,6.214,0.322,0.203,6.323,0.328,0.206,3.789,0.405,66.453,7.107,0.368,80.855,4954.695,9853.619,541.708,10.137,1304.375,5131.236,2962.066,55.554,30643.369,1.588,0.006,0.001,34.029,3.639,7.415,10.635,-1.012,-0.108,18.704,2,15.372,1.644,17.906,1.915,0.117,1.091,286.544,0.142,0.168,0.146,0.027,0.186,0.292,0.382,0.069,0.055,0.532,0.578,0.502,0.422,0.002,0.452,-0.022,0.164,0.263,0.349,0.001,0.004,0.006,0.001,99.446,69.341,7.33,12.398
Belgium,2019,BEL,11490623,4.72898E+11,2.819,0.245,99.799,-0.458,-0.456,103.684,-0.296,-0.284,9.023,0.219,0.14,8.685,0.211,0.135,13.156,1.145,204.481,17.795,0.432,217.968,12460.928,12718.351,7512.584,3.127,1298.216,398.585,3345.778,83.255,64258.418,1.561,0.116,0.01,36.224,3.152,9.701,10.705,3.885,0.338,12.316,1.072,8.982,0.782,45.341,3.946,0.186,2.143,738.369,0.174,0.269,0.247,0.089,0.521,0.749,0.5,0.971,0.017,0.546,0.045,0.578,0.653,0.027,0.478,0.079,0.368,0.492,0.422,0,0.006,0.007,0,123.012,111.473,104.683,104.894
Belgium,2020,BEL,11540102,4.47544E+11,2.634,0.228,91.255,-8.544,-8.561,94.632,-9.052,-8.73,8.2,0.211,0.143,7.908,0.204,0.137,10.466,0.907,182.339,15.8,0.407,220.602,12552.183,12812.982,7523.05,3.228,1334.289,401.962,3385.875,85.138,57530.324,1.483,0.101,0.009,36.073,3.126,8.916,9.896,3.378,0.293,12.25,1.062,8.959,0.776,40.098,3.475,0.163,1.883,663.906,0.162,0.26,0.239,0.073,0.508,0.739,0.496,0.955,0.017,0.544,0.045,0.574,0.647,0.025,0.48,0.075,0.367,0.455,0.419,0,0.006,0.007,0,114.199,102.894,91.084,99.814
